sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
5.6371865,2.3496895,4.317153,1.0506287
6.41165,3.0704112,4.756128,1.372244
5.678631,2.5452688,4.154848,1.2374895
5.0751147,2.3143435,3.338799,1.0137882
6.566044,3.01301,5.2396283,1.9746327
5.1088634,3.5134535,1.5503882,0.25972962
5.0466614,3.5607939,1.359248,0.17826399
5.284248,3.4216352,1.9966621,0.24989042
5.2552905,3.7112591,1.530156,0.22766957
5.03308,2.4074445,3.1197987,0.9542957
4.5647945,3.009227,1.2675555,0.18203354
6.2705426,2.9376423,4.6988916,1.4136817
4.8699903,3.1444347,1.6238198,0.17690329
4.6563864,2.9139335,1.5825341,0.2685776
5.2993464,3.7332215,1.5801072,0.2369872
5.079936,3.5282397,1.4813951,0.2891325
6.6392584,3.1290503,5.106436,1.4680221
5.2542624,3.463325,1.8762152,0.21401763
7.333962,3.539693,5.9616194,2.3660614
7.245359,3.4978454,5.858241,2.352775
6.147766,2.875155,4.5695844,1.4143697
6.4344716,2.5259356,5.670382,1.8381093
5.2668405,3.402639,2.0255978,0.43249336
6.7135825,3.0877295,5.3940134,1.9482529
6.231208,2.910265,4.6452923,1.3084741
6.4973307,2.8505797,5.3234453,1.8300453
6.4655585,2.9627795,5.05602,1.6144226
4.9509983,3.048482,1.9620495,0.44103408
4.954152,2.1862674,3.2779067,0.8891057
6.055083,2.5352526,4.891795,1.462445
5.267996,3.396559,2.0342517,0.4078704
4.968702,3.44074,1.3849572,0.18600763
7.0321794,3.123704,5.9855676,2.2550461
6.1486897,2.9905803,4.3748307,1.2771535
5.265408,3.3555555,2.1251597,0.57838106
7.016105,3.1963515,5.7564883,1.7606807
6.0242887,2.964982,4.2370844,1.5073057
6.4602942,2.8028016,5.3193164,1.8319707
6.253176,3.2701154,4.288529,1.8642373
5.778871,3.1566541,3.4336562,1.08221
5.855967,2.9246202,3.9277778,1.2042412
6.739561,3.0990474,5.478578,2.2231464
5.463087,3.3816128,2.4445012,0.6002427
7.1315002,3.383738,5.8153768,2.362101
5.415089,3.5847979,2.0649316,0.5504917
5.044209,3.083988,2.103769,0.5676684
6.4465795,3.093977,4.9305596,2.0767367
7.371589,2.7483287,7.1417465,2.2902346
6.430228,3.2358375,4.661023,1.8920805
4.7442904,3.1423693,1.4026775,0.1568614
5.5104666,3.7623496,1.9790986,0.4993925
5.3934736,4.0080724,1.3649784,0.25117043
5.611334,3.633706,2.377595,0.68876976
6.286301,3.1515167,4.474485,1.6898102
6.6645303,3.2206507,5.0011773,1.3705903
4.8445296,2.8964257,1.9842271,0.4545844
6.3587217,3.2731836,4.4171987,1.5578141
6.5503774,2.8644664,5.439762,2.0571082
6.8286986,2.8090239,5.9871054,1.8631325
5.8849645,2.6414394,4.492766,1.7559781
5.6715646,2.7316387,3.9327197,1.5364946
5.6929445,2.5805595,4.1540494,1.375923
5.002299,2.646501,2.64895,0.61013937
6.056785,2.8159473,4.530002,1.6320814
6.21717,2.8894098,4.7467413,1.7901391
4.8386173,2.779683,2.1548765,0.52825207
7.386985,3.106751,6.641505,2.1946232
5.6440005,3.3592985,2.8124778,0.6343052
6.238757,2.9681242,4.630713,1.5633965
7.153889,3.2464359,5.974771,1.9645602
6.119885,3.732842,3.2092264,0.9494726
5.2930365,3.31281,2.2671585,0.7564769
4.9715676,3.3617134,1.501006,0.17143473
5.7082343,2.4645283,4.3661404,1.4805937
5.4226565,3.1741161,2.720721,0.84721106
5.0124536,3.3142557,1.6464568,0.19278412
5.4328513,3.22052,2.6201613,0.6124611
5.6631393,3.5006266,2.710438,0.9252387
5.246459,2.9901133,2.6262004,0.6883765
5.5041738,3.3485754,2.585971,0.68065643
5.501419,3.1785145,2.8306625,0.7359865
5.9147425,3.0830135,3.8042676,1.1700326
5.0263677,3.4141269,1.530875,0.1993493
6.134125,2.8887405,4.4970193,1.2960819
6.195026,2.755174,4.8590565,1.596244
5.619525,3.2765691,2.9722953,1.0392858
5.3258576,2.9717307,2.7732697,0.5708293
5.8070006,2.6266968,4.266376,1.2324543
5.7551107,3.4512475,2.9112928,0.7617569
5.331813,3.662785,1.766419,0.38918805
5.1525183,3.6731973,1.4113278,0.26918316
5.9744077,2.9052367,4.2068925,1.3933554
6.5758557,3.0835133,5.1660643,2.031421
6.7179775,3.0719292,5.4605875,2.1117358
5.7555118,3.1971016,3.263985,0.74010897
5.732718,3.1996102,3.2938066,1.1118038
